millis,altp,ax,ay,az
19.800000,1387.921104,0.004676,-0.050917,0.001681
19.900000,1387.211328,0.004148,-0.045166,0.001811
20.000000,1386.501574,0.003673,-0.039995,0.001931
20.100000,1385.791843,0.003247,-0.035351,0.002041
20.200000,1385.082133,0.002865,-0.031195,0.002143
20.300000,1384.372446,0.002525,-0.027492,0.002238
20.400000,1383.662782,0.002223,-0.024205,0.002326
20.500000,1382.953140,0.001957,-0.021299,0.002403
20.600000,1382.243520,0.001722,-0.018744,0.002468
20.700000,1381.533922,0.001516,-0.016505,0.002516
20.800000,1380.824345,0.001337,-0.014551,0.002545
20.900000,1380.114790,0.001180,-0.012846,0.002556
21.000000,1379.405257,0.001043,-0.011354,0.002553
21.100000,1378.695747,0.000922,-0.010039,0.002538
21.200000,1377.986260,0.000815,-0.008866,0.002517
21.300000,1377.276797,0.000718,-0.007817,0.002491
21.400000,1376.567359,0.000632,-0.006883,0.002462
21.500000,1375.857945,0.000556,-0.006057,0.002434
21.600000,1375.148557,0.000490,-0.005332,0.002408
21.700000,1374.439194,0.000432,-0.004699,0.002386
21.800000,1373.729856,0.000381,-0.004150,0.002370
21.900000,1373.020544,0.000337,-0.003672,0.002359
22.000000,1372.311258,0.000299,-0.003257,0.002354
22.100000,1371.601998,0.000266,-0.002892,0.002356
22.200000,1370.892764,0.000236,-0.002571,0.002364
22.300000,1370.183555,0.000210,-0.002288,0.002377
22.400000,1369.474372,0.000187,-0.002037,0.002394
22.500000,1368.765213,0.000166,-0.001814,0.002413
22.600000,1368.056080,0.000148,-0.001615,0.002431
22.700000,1367.346971,0.000132,-0.001436,0.002449
22.800000,1366.637886,0.000117,-0.001275,0.002463
22.900000,1365.928825,0.000104,-0.001132,0.002471
23.000000,1365.219788,0.000092,-0.001002,0.002475
23.100000,1364.510775,0.000081,-0.000883,0.002476
23.200000,1363.801787,0.000071,-0.000773,0.002477
23.300000,1363.092824,0.000061,-0.000669,0.002478
23.400000,1362.383885,0.000052,-0.000571,0.002479
23.500000,1361.674971,0.000044,-0.000480,0.002481
23.600000,1360.966083,0.000036,-0.000394,0.002483
23.700000,1360.257218,0.000028,-0.000315,0.002485
23.800000,1359.548379,0.000022,-0.000241,0.002488
23.900000,1358.839564,0.000015,-0.000172,0.002491
24.000000,1358.130775,0.000010,-0.000109,0.002494
24.100000,1357.422009,0.000004,-0.000051,0.002497
24.200000,1356.713269,-0.000001,0.000002,0.002499
24.300000,1356.004553,-0.000005,0.000050,0.002502
24.400000,1355.295862,-0.000009,0.000094,0.002505
24.500000,1354.587196,-0.000013,0.000134,0.002508
24.600000,1353.878554,-0.000016,0.000170,0.002510
24.700000,1353.169937,-0.000019,0.000201,0.002512
24.800000,1352.461345,-0.000022,0.000229,0.002514
24.900000,1351.752777,-0.000024,0.000253,0.002515
25.000000,1351.044234,-0.000026,0.000274,0.002517
25.100000,1350.335716,-0.000027,0.000292,0.002517
25.200000,1349.627222,-0.000029,0.000307,0.002517
25.300000,1348.918753,-0.000030,0.000318,0.002517
25.400000,1348.210309,-0.000031,0.000328,0.002516
25.500000,1347.501889,-0.000031,0.000334,0.002515
25.600000,1346.793494,-0.000032,0.000339,0.002514
25.700000,1346.085123,-0.000032,0.000341,0.002512
25.800000,1345.376777,-0.000032,0.000341,0.002510
25.900000,1344.668456,-0.000032,0.000340,0.002508
26.000000,1343.960160,-0.000031,0.000337,0.002506
26.100000,1343.251888,-0.000031,0.000332,0.002503
26.200000,1342.543641,-0.000030,0.000326,0.002501
26.300000,1341.835418,-0.000030,0.000319,0.002498
26.400000,1341.127220,-0.000029,0.000310,0.002495
26.500000,1340.419047,-0.000028,0.000301,0.002493
26.600000,1339.710899,-0.000027,0.000292,0.002490
26.700000,1339.002775,-0.000026,0.000282,0.002488
26.800000,1338.294676,-0.000025,0.000271,0.002485
26.900000,1337.586601,-0.000024,0.000260,0.002483
27.000000,1336.878552,-0.000023,0.000250,0.002481
27.100000,1336.170527,-0.000022,0.000239,0.002479
27.200000,1335.462526,-0.000022,0.000229,0.002477
27.300000,1334.754551,-0.000021,0.000218,0.002476
27.400000,1334.046600,-0.000020,0.000208,0.002474
27.500000,1333.338674,-0.000019,0.000198,0.002473
27.600000,1332.630772,-0.000018,0.000189,0.002472
27.700000,1331.922895,-0.000017,0.000179,0.002471
27.800000,1331.215043,-0.000016,0.000170,0.002470
27.900000,1330.507216,-0.000015,0.000161,0.002469
28.000000,1329.799413,-0.000015,0.000153,0.002468
28.100000,1329.091634,-0.000014,0.000144,0.002468
28.200000,1328.383881,-0.000013,0.000137,0.002467
28.300000,1327.676152,-0.000012,0.000129,0.002467
28.400000,1326.968448,-0.000012,0.000122,0.002466
28.500000,1326.260768,-0.000011,0.000116,0.002466
28.600000,1325.553113,-0.000011,0.000110,0.002466
28.700000,1324.845483,-0.000010,0.000104,0.002465
28.800000,1324.137877,-0.000010,0.000099,0.002465
28.900000,1323.430296,-0.000009,0.000095,0.002465
29.000000,1322.722740,-0.000009,0.000091,0.002464
29.100000,1322.015208,-0.000009,0.000087,0.002464
29.200000,1321.307701,-0.000008,0.000084,0.002463
29.300000,1320.600218,-0.000008,0.000082,0.002463
29.400000,1319.892760,-0.000008,0.000080,0.002463
29.500000,1319.185327,-0.000008,0.000078,0.002462
29.600000,1318.477918,-0.000008,0.000077,0.002462
29.700000,1317.770534,-0.000007,0.000076,0.002461
29.800000,1317.063175,-0.000007,0.000075,0.002461
29.900000,1316.355840,-0.000007,0.000074,0.002460
30.000000,1315.648530,-0.000007,0.000074,0.002460
30.100000,1314.941244,-0.000007,0.000073,0.002460
30.200000,1314.233983,-0.000007,0.000073,0.002459
30.300000,1313.526746,-0.000007,0.000073,0.002459
30.400000,1312.819535,-0.000007,0.000073,0.002458
30.500000,1312.112347,-0.000007,0.000073,0.002458
30.600000,1311.405185,-0.000007,0.000073,0.002458
30.700000,1310.698047,-0.000007,0.000072,0.002457
30.800000,1309.990933,-0.000007,0.000072,0.002457
30.900000,1309.283844,-0.000007,0.000071,0.002456
31.000000,1308.576780,-0.000007,0.000070,0.002456
31.100000,1307.869740,-0.000007,0.000069,0.002456
31.200000,1307.162725,-0.000007,0.000068,0.002455
31.300000,1306.455735,-0.000007,0.000067,0.002455
31.400000,1305.748769,-0.000006,0.000065,0.002455
31.500000,1305.041828,-0.000006,0.000062,0.002455
31.600000,1304.334911,-0.000006,0.000060,0.002454
31.700000,1303.628019,-0.000006,0.000057,0.002454
31.800000,1302.921151,-0.000005,0.000054,0.002454
31.900000,1302.214308,-0.000005,0.000051,0.002454
32.000000,1301.507490,-0.000005,0.000047,0.002453
32.100000,1300.800696,-0.000004,0.000044,0.002453
32.200000,1300.093927,-0.000004,0.000040,0.002453
32.300000,1299.387182,-0.000004,0.000036,0.002453
32.400000,1298.680462,-0.000003,0.000032,0.002453
32.500000,1297.973766,-0.000003,0.000028,0.002452
